TEKLİF NUMARASI,HASARSIZLIK İNDİRİMİ KADEMESİ,TRAFİK BASAMAK KODU,MARKA,ARAÇ YAŞI,MODEL YILI,YAKIT TİPİ,İL,İLÇE,YAŞ ,TEKLİF PRİMİ,PORTFÖY AYRIMI,SİGORTALI TİPİ,TEKLİF ONAY DURUMU
15284,0%,6,FORD,4,2020,DIZEL,İSTANBUL,ÇEKMEKÖY,37,19.388,İLK DEFA SİGORTALI,O,T
15285,60%,7,FORD,3,2021,DIZEL,İSTANBUL,SANCAKTEPE,58,10.644,YENİLEME,O,P
15286,50%,8,VOLKSWAGEN,4,2020,BENZİN,İZMİR,GAZİEMİR,54,7.215,YENİ İŞ,O,T
15287,30%,7,FORD,1,2023,DIZEL,İSTANBUL,ESENYURT,50,9.146,YENİ İŞ,O,T
15288,30%,7,RENAULT,1,2023,DIZEL,İSTANBUL,,0,14.556,YENİ İŞ,T,T
15289,0%,7,VOLKSWAGEN,4,2020,BENZİN,İSTANBUL,BAKIRKÖY,36,14.921,İLK DEFA SİGORTALI,O,T
15290,40%,7,FORD,5,2019,DIZEL,İSTANBUL,BAŞAKŞEHİR,43,9.086,YENİ İŞ,O,T
15291,0%,7,VOLKSWAGEN,1,2023,BENZİN,ANKARA,ETİMESGUT,50,20.663,İLK DEFA SİGORTALI,O,T
15292,0%,4,FORD,4,2020,DIZEL,İSTANBUL,AVCILAR,27,11.806,İLK DEFA SİGORTALI,O,T
15293,40%,7,FORD,3,2021,BENZİN,ANKARA,ETİMESGUT,37,8.179,YENİ İŞ,O,T
15294,30%,6,VOLKSWAGEN,1,2023,DIZEL,İSTANBUL,ÇATALCA,61,8.553,YENİ İŞ,O,T
15295,60%,7,FORD,4,2020,BENZİN,İSTANBUL,ÇEKMEKÖY,42,5.607,YENİ İŞ,O,T
15296,0%,6,RENAULT,2,2022,BENZİN,ANKARA,,0,16.390,İLK DEFA SİGORTALI,T,T
15297,60%,7,TOYOTA,4,2020,BENZİN,ANKARA,YENİMAHALLE,32,7.092,YENİ İŞ,O,T
15298,30%,5,MERCEDES,2,2022,BENZİN,ANKARA,MAMAK,56,17.044,YENİ İŞ,O,T
15299,30%,5,MERCEDES,1,2023,DIZEL,İSTANBUL,,0,14.272,YENİ İŞ,T,T
15300,30%,6,RENAULT,1,2023,DIZEL,İSTANBUL,SİLİVRİ,35,8.938,YENİ İŞ,O,T
15301,40%,6,VOLKSWAGEN,2,2022,BENZİN,İSTANBUL,SULTANGAZİ,32,6.266,YENİ İŞ,O,T
15302,30%,5,FORD,1,2023,DIZEL,İSTANBUL,,0,64.576,YENİ İŞ,T,T
15303,50%,7,VOLKSWAGEN,3,2021,DIZEL,İSTANBUL,,0,9.904,YENİLEME,T,T
15304,40%,5,VOLKSWAGEN,3,2021,BENZİN,İSTANBUL,BEYLİKDÜZÜ,36,5.630,YENİ İŞ,O,T
15305,60%,7,FORD,4,2020,DIZEL,İZMİR,ÇİĞLİ,53,10.055,YENİ İŞ,O,T
15306,60%,7,VOLKSWAGEN,2,2022,BENZİN,ANKARA,YENİMAHALLE,34,6.884,YENİ İŞ,O,T
15307,60%,8,FORD,3,2021,DIZEL,İZMİR,KARABAĞLAR,63,8.742,YENİ İŞ,O,T
15308,0%,4,MERCEDES,1,2023,DIZEL,İSTANBUL,BAŞAKŞEHİR,51,25.024,İLK DEFA SİGORTALI,O,P
15309,60%,7,VOLKSWAGEN,0,2024,BENZİN,İZMİR,KARŞIYAKA,36,6.310,YENİ İŞ,O,T
15310,50%,5,VOLKSWAGEN,4,2020,BENZİN,İSTANBUL,KÜÇÜKÇEKMECE,34,9.945,YENİ İŞ,O,P
15311,30%,5,FORD,1,2023,BENZİN,İZMİR,MENEMEN,25,8.198,YENİ İŞ,O,T
15312,30%,7,HONDA,3,2021,BENZİN,ANKARA,ÇANKAYA,48,13.961,YENİ İŞ,O,T
15313,50%,5,RENAULT,2,2022,BENZİN,ANKARA,ÇANKAYA,32,5.501,YENİ İŞ,O,T
15314,0%,4,MERCEDES,4,2020,DIZEL,İSTANBUL,MALTEPE,44,21.111,İLK DEFA SİGORTALI,O,T
15315,60%,7,VOLKSWAGEN,2,2022,BENZİN,İZMİR,,0,8.790,YENİ İŞ,T,T
15316,60%,8,TOYOTA,3,2021,BENZİN,İSTANBUL,BAHÇELİEVLER,35,5.810,YENİ İŞ,O,T
15317,0%,3,VOLKSWAGEN,1,2023,BENZİN,İSTANBUL,BAKIRKÖY,32,10.861,YENİ İŞ,O,T
15318,60%,8,MERCEDES,5,2019,DIZEL,İSTANBUL,BAŞAKŞEHİR,57,14.315,YENİ İŞ,O,T
15319,50%,7,VOLKSWAGEN,3,2021,BENZİN,İSTANBUL,KADIKÖY,57,9.548,YENİ İŞ,O,T
15320,30%,5,VOLKSWAGEN,1,2023,BENZİN,İSTANBUL,,0,17.095,YENİ İŞ,T,T
15321,40%,5,VOLKSWAGEN,4,2020,BENZİN,İZMİR,KARABAĞLAR,47,8.826,YENİLEME,O,T
15322,0%,5,RENAULT,2,2022,BENZİN,İSTANBUL,ÜSKÜDAR,29,14.209,İLK DEFA SİGORTALI,O,T
15323,50%,6,TOYOTA,1,2023,BENZİN,İSTANBUL,FATİH,47,9.188,YENİLEME,O,T
15324,0%,5,VOLKSWAGEN,3,2021,BENZİN,ANKARA,PURSAKLAR,59,20.284,İLK DEFA SİGORTALI,O,T
