TEKLİF NUMARASI,HASARSIZLIK İNDİRİMİ KADEMESİ,TRAFİK BASAMAK KODU,MARKA,ARAÇ YAŞI,MODEL YILI,YAKIT TİPİ,İL,İLÇE,YAŞ ,TEKLİF PRİMİ,PORTFÖY AYRIMI,SİGORTALI TİPİ,TEKLİF ONAY DURUMU
17083,0%,5,FORD,2,2022,DIZEL,İSTANBUL,BAĞCILAR,31,21.703,İLK DEFA SİGORTALI,O,T
17084,60%,7,VOLKSWAGEN,1,2023,BENZİN,İSTANBUL,KADIKÖY,51,8.580,YENİ İŞ,O,T
17085,0%,4,FORD,2,2022,DIZEL,İSTANBUL,SANCAKTEPE,54,5.522,İLK DEFA SİGORTALI,O,T
17086,0%,6,VOLKSWAGEN,1,2023,BENZİN,İSTANBUL,BÜYÜKÇEKMECE,52,14.248,İLK DEFA SİGORTALI,O,T
17087,30%,7,VOLKSWAGEN,1,2023,BENZİN,İZMİR,,0,10.739,YENİ İŞ,T,T
17088,30%,5,FORD,1,2023,DIZEL,İSTANBUL,,0,10.641,YENİ İŞ,T,P
17089,50%,6,VOLKSWAGEN,1,2023,DIZEL,İSTANBUL,ÜMRANİYE,36,18.895,YENİLEME,O,P
17090,30%,5,VOLKSWAGEN,2,2022,BENZİN,İSTANBUL,BEYKOZ,52,12.513,YENİ İŞ,O,T
17091,60%,8,MERCEDES,4,2020,DIZEL,İSTANBUL,BAKIRKÖY,49,12.702,YENİ İŞ,O,T
17092,30%,6,VOLKSWAGEN,4,2020,DIZEL,İSTANBUL,SİLİVRİ,54,10.430,YENİ İŞ,O,T
17093,50%,8,FORD,3,2021,DIZEL,İSTANBUL,,0,9.016,YENİ İŞ,T,T
17094,40%,8,MERCEDES,2,2022,DIZEL,İSTANBUL,,0,121.553,YENİ İŞ,T,P
17095,50%,7,VOLKSWAGEN,3,2021,BENZİN,ANKARA,,0,12.072,YENİ İŞ,T,P
17096,0%,4,VOLKSWAGEN,2,2022,BENZİN,İSTANBUL,BAHÇELİEVLER,36,10.363,İLK DEFA SİGORTALI,O,T
17097,0%,4,RENAULT,3,2021,BENZİN,İSTANBUL,,0,20.290,İLK DEFA SİGORTALI,T,T
17098,40%,6,TOYOTA,2,2022,DIZEL,İSTANBUL,,0,15.960,YENİ İŞ,T,T
17099,0%,7,HONDA,1,2023,BENZİN,İZMİR,KONAK,61,13.547,İLK DEFA SİGORTALI,O,T
17100,0%,6,TOYOTA,2,2022,DIZEL,İSTANBUL,ÇEKMEKÖY,45,59.733,YENİ İŞ,O,T
17101,50%,7,MERCEDES,4,2020,DIZEL,İSTANBUL,,0,11.086,YENİ İŞ,T,P
17102,40%,5,FORD,2,2022,DIZEL,İZMİR,KARŞIYAKA,43,7.940,YENİ İŞ,O,T
17103,0%,4,FORD,1,2023,DIZEL,İSTANBUL,KAĞITHANE,42,14.658,İLK DEFA SİGORTALI,O,T
17104,30%,8,VOLKSWAGEN,3,2021,BENZİN,ANKARA,ÇANKAYA,60,8.217,YENİ İŞ,O,P
17105,30%,4,RENAULT,2,2022,DIZEL,İSTANBUL,,0,9.074,YENİ İŞ,T,T
17106,60%,7,VOLKSWAGEN,3,2021,DIZEL,İSTANBUL,,0,13.195,YENİLEME,T,T
17107,60%,8,FORD,5,2019,DIZEL,İZMİR,,0,6.423,YENİ İŞ,T,T
17108,60%,6,TOYOTA,3,2021,BENZİN,İZMİR,BAYRAKLI,35,7.542,YENİ İŞ,O,T
17109,0%,7,FORD,0,2024,DIZEL,İSTANBUL,SULTANGAZİ,40,12.064,SIFIR ARAÇ,O,T
17110,0%,7,TOYOTA,1,2023,BENZİN,İSTANBUL,,0,13.901,YENİ İŞ,T,P
17111,40%,5,VOLKSWAGEN,1,2023,BENZİN,ANKARA,ÇANKAYA,30,8.309,YENİ İŞ,O,T
17112,60%,7,VOLKSWAGEN,4,2020,BENZİN,İSTANBUL,,0,10.322,YENİ İŞ,T,T
17113,0%,4,VOLKSWAGEN,2,2022,BENZİN,İSTANBUL,EYÜP,27,10.638,İLK DEFA SİGORTALI,O,T
17114,40%,6,VOLKSWAGEN,2,2022,BENZİN,İSTANBUL,,0,6.282,YENİ İŞ,T,T
17115,60%,8,TOYOTA,4,2020,BENZİN,İZMİR,KARŞIYAKA,46,8.015,YENİ İŞ,O,T
17116,30%,8,VOLKSWAGEN,1,2023,BENZİN,İSTANBUL,,0,18.600,YENİ İŞ,T,T
17117,30%,7,FORD,1,2023,BENZİN,İZMİR,DİKİLİ,49,9.317,YENİ İŞ,O,T
17118,60%,8,MERCEDES,4,2020,BENZİN,İSTANBUL,KARTAL,44,7.275,YENİ İŞ,O,P
17119,0%,5,MERCEDES,0,2024,DIZEL,ANKARA,KAZAN,49,29.880,İLK DEFA SİGORTALI,O,T
17120,0%,6,VOLKSWAGEN,3,2021,BENZİN,ANKARA,,0,28.596,YENİ İŞ,T,T
17121,0%,4,VOLKSWAGEN,3,2021,BENZİN,ANKARA,KEÇİÖREN,33,8.634,İLK DEFA SİGORTALI,O,T
17122,30%,7,VOLKSWAGEN,1,2023,BENZİN,İSTANBUL,KADIKÖY,64,10.863,YENİ İŞ,O,T
17123,0%,6,VOLKSWAGEN,2,2022,BENZİN,İZMİR,BUCA,29,19.431,YENİ İŞ,O,T
17124,0%,5,FORD,1,2023,DIZEL,İZMİR,MENEMEN,40,11.195,İLK DEFA SİGORTALI,O,P
17125,0%,7,VOLKSWAGEN,1,2023,DIZEL,İSTANBUL,SULTANGAZİ,44,7.664,İLK DEFA SİGORTALI,O,T
17126,60%,7,VOLKSWAGEN,4,2020,BENZİN,İSTANBUL,BEYLİKDÜZÜ,58,11.199,YENİLEME,O,T
17127,60%,7,VOLKSWAGEN,1,2023,BENZİN,ANKARA,YENİMAHALLE,32,8.893,YENİLEME,O,T
17128,0%,6,RENAULT,1,2023,DIZEL,İSTANBUL,,0,13.017,İLK DEFA SİGORTALI,T,T
17129,50%,8,VOLKSWAGEN,4,2020,DIZEL,İSTANBUL,,0,24.113,YENİ İŞ,T,P
17130,50%,4,MERCEDES,4,2020,DIZEL,İSTANBUL,PENDİK,39,14.724,YENİ İŞ,O,P
17131,60%,8,FORD,3,2021,BENZİN,İSTANBUL,SANCAKTEPE,58,8.198,YENİ İŞ,O,T
17132,0%,4,VOLKSWAGEN,3,2021,BENZİN,İSTANBUL,,0,19.281,YENİ İŞ,T,P
17133,0%,5,FORD,2,2022,DIZEL,İSTANBUL,ŞİŞLİ,40,11.642,İLK DEFA SİGORTALI,O,T
17134,0%,8,HONDA,5,2019,BENZİN,İZMİR,ÇİĞLİ,40,13.221,İLK DEFA SİGORTALI,O,T
17135,60%,8,HONDA,4,2020,BENZİN,İZMİR,KARABAĞLAR,46,8.313,YENİ İŞ,O,T
17136,0%,4,RENAULT,2,2022,DIZEL,İZMİR,,0,15.173,İLK DEFA SİGORTALI,T,T
17137,30%,4,MERCEDES,5,2019,BENZİN,İSTANBUL,SİLİVRİ,36,9.019,YENİ İŞ,O,P
17138,50%,7,VOLKSWAGEN,3,2021,DIZEL,İSTANBUL,,0,9.969,YENİ İŞ,T,P
17139,30%,5,FORD,1,2023,DIZEL,İSTANBUL,,0,16.564,YENİ İŞ,T,T
17140,30%,5,FORD,4,2020,BENZİN,ANKARA,ETİMESGUT,37,7.317,YENİ İŞ,O,T
17141,60%,6,FORD,2,2022,DIZEL,İSTANBUL,ÜMRANİYE,44,9.293,YENİ İŞ,O,T
17142,0%,7,FORD,5,2019,DIZEL,İSTANBUL,SANCAKTEPE,36,18.278,İLK DEFA SİGORTALI,O,T
17143,0%,6,VOLKSWAGEN,1,2023,DIZEL,İSTANBUL,,0,10.087,İLK DEFA SİGORTALI,T,T
17144,0%,4,VOLKSWAGEN,4,2020,BENZİN,İSTANBUL,ESENYURT,23,26.341,İLK DEFA SİGORTALI,O,T
17145,0%,5,MERCEDES,2,2022,DIZEL,İSTANBUL,,0,27.898,YENİ İŞ,T,T
17146,30%,7,VOLKSWAGEN,3,2021,BENZİN,İSTANBUL,,0,14.931,YENİ İŞ,T,T
17147,0%,3,VOLKSWAGEN,2,2022,BENZİN,İSTANBUL,,0,18.243,YENİLEME,T,P
17148,0%,4,FORD,5,2019,DIZEL,İSTANBUL,SANCAKTEPE,39,8.541,İLK DEFA SİGORTALI,O,T
17149,50%,6,FORD,1,2023,BENZİN,ANKARA,GÖLBAŞI,41,10.705,YENİ İŞ,O,T
17150,0%,7,VOLKSWAGEN,1,2023,BENZİN,İSTANBUL,KAĞITHANE,43,15.562,İLK DEFA SİGORTALI,O,T
17151,50%,7,VOLKSWAGEN,3,2021,DIZEL,İSTANBUL,SULTANGAZİ,44,9.085,YENİ İŞ,O,T
17152,0%,4,VOLKSWAGEN,2,2022,BENZİN,İSTANBUL,KAĞITHANE,26,14.867,İLK DEFA SİGORTALI,O,T
17153,0%,4,FORD,2,2022,DIZEL,ANKARA,GÖLBAŞI,30,8.929,İLK DEFA SİGORTALI,O,T
17154,60%,8,HONDA,3,2021,BENZİN,İSTANBUL,BÜYÜKÇEKMECE,45,14.299,YENİ İŞ,O,T
17155,0%,4,FORD,3,2021,DIZEL,ANKARA,,0,14.185,İLK DEFA SİGORTALI,T,T
17156,40%,7,MERCEDES,4,2020,DIZEL,İSTANBUL,ADALAR,34,16.508,YENİ İŞ,O,T
17157,0%,4,VOLKSWAGEN,3,2021,BENZİN,İSTANBUL,BAŞAKŞEHİR,32,10.586,İLK DEFA SİGORTALI,O,T
17158,0%,4,FORD,3,2021,BENZİN,İSTANBUL,ZEYTİNBURNU,21,19.141,İLK DEFA SİGORTALI,O,T
17159,40%,5,RENAULT,2,2022,BENZİN,İSTANBUL,,0,9.277,YENİ İŞ,T,T
17160,40%,7,FORD,4,2020,DIZEL,İSTANBUL,,0,11.271,YENİ İŞ,T,T
17161,30%,6,FORD,3,2021,DIZEL,İZMİR,,0,11.101,YENİ İŞ,T,T
17162,30%,8,MERCEDES,4,2020,DIZEL,İSTANBUL,KÜÇÜKÇEKMECE,45,35.847,YENİ İŞ,O,T
17163,60%,8,MERCEDES,4,2020,BENZİN,İSTANBUL,ÜMRANİYE,38,11.808,YENİ İŞ,O,T
17164,0%,7,FORD,3,2021,BENZİN,İSTANBUL,KARTAL,33,12.982,İLK DEFA SİGORTALI,O,T
17165,30%,4,RENAULT,3,2021,BENZİN,İSTANBUL,KARTAL,48,8.328,YENİ İŞ,O,T
17166,60%,7,TOYOTA,3,2021,BENZİN,ANKARA,YENİMAHALLE,30,5.499,YENİ İŞ,O,T
17167,0%,5,FORD,1,2023,DIZEL,İSTANBUL,,0,9.840,YENİLEME,T,P
17168,30%,5,MERCEDES,1,2023,DIZEL,İSTANBUL,BÜYÜKÇEKMECE,49,17.677,YENİ İŞ,O,T
17169,60%,5,TOYOTA,2,2022,DIZEL,ANKARA,YENİMAHALLE,54,7.939,YENİ İŞ,O,T
17170,0%,8,VOLKSWAGEN,3,2021,BENZİN,ANKARA,KEÇİÖREN,39,11.900,İLK DEFA SİGORTALI,O,T
17171,30%,5,FORD,1,2023,DIZEL,İZMİR,KEMALPAŞA,51,8.433,YENİ İŞ,O,T
17172,40%,4,MERCEDES,2,2022,BENZİN,İSTANBUL,ÜSKÜDAR,41,17.142,YENİ İŞ,O,T
17173,60%,8,TOYOTA,2,2022,BENZİN,İSTANBUL,BEŞİKTAŞ,61,7.540,YENİ İŞ,O,T
17174,0%,6,FORD,2,2022,DIZEL,İZMİR,BUCA,40,7.812,İLK DEFA SİGORTALI,O,T
17175,30%,5,FORD,2,2022,DIZEL,İSTANBUL,KÜÇÜKÇEKMECE,29,8.230,YENİ İŞ,O,T
17176,60%,8,HONDA,3,2021,BENZİN,İSTANBUL,ARNAVUTKÖY,38,6.757,YENİ İŞ,O,T
17177,30%,6,MERCEDES,3,2021,BENZİN,İSTANBUL,KÜÇÜKÇEKMECE,54,33.019,YENİ İŞ,O,T
17178,30%,4,MERCEDES,1,2023,BENZİN,İSTANBUL,ÜMRANİYE,49,12.873,YENİLEME,O,P
17179,0%,4,FORD,4,2020,DIZEL,İSTANBUL,GÜNGÖREN,34,15.713,İLK DEFA SİGORTALI,O,T
17180,30%,5,FORD,1,2023,DIZEL,ANKARA,,0,12.652,YENİ İŞ,T,P
17181,50%,5,TOYOTA,1,2023,BENZİN,İSTANBUL,,0,16.510,YENİ İŞ,T,T
17182,30%,5,HONDA,1,2023,BENZİN,İSTANBUL,BAHÇELİEVLER,56,12.836,YENİ İŞ,O,T
17183,60%,7,VOLKSWAGEN,4,2020,DIZEL,İZMİR,BUCA,43,8.561,YENİ İŞ,O,T
17184,60%,7,HONDA,2,2022,BENZİN,İSTANBUL,TUZLA,49,12.544,YENİ İŞ,O,T
17185,30%,5,MERCEDES,1,2023,DIZEL,İSTANBUL,,0,16.391,YENİLEME,T,T
17186,0%,4,MERCEDES,4,2020,BENZİN,ANKARA,ÇANKAYA,21,31.130,İLK DEFA SİGORTALI,O,T
17187,40%,5,VOLKSWAGEN,2,2022,DIZEL,İSTANBUL,GÜNGÖREN,32,7.278,YENİ İŞ,O,T
17188,0%,6,TOYOTA,2,2022,BENZİN,İZMİR,BUCA,20,24.275,YENİLEME,O,P
17189,30%,6,VOLKSWAGEN,1,2023,BENZİN,İSTANBUL,BAYRAMPAŞA,55,13.662,YENİ İŞ,O,T
17190,0%,4,RENAULT,2,2022,BENZİN,İSTANBUL,,0,17.565,İLK DEFA SİGORTALI,T,T
17191,30%,4,MERCEDES,2,2022,BENZİN,ANKARA,ÇANKAYA,30,17.372,YENİ İŞ,O,T
17192,30%,4,FORD,2,2022,DIZEL,İZMİR,KEMALPAŞA,59,8.248,YENİ İŞ,O,T
17193,0%,4,TOYOTA,1,2023,DIZEL,İSTANBUL,KÜÇÜKÇEKMECE,31,10.968,İLK DEFA SİGORTALI,O,T
17194,30%,5,TOYOTA,1,2023,DIZEL,İSTANBUL,ŞİŞLİ,45,7.157,YENİ İŞ,O,T
17195,30%,2,FORD,1,2023,DIZEL,İSTANBUL,BAŞAKŞEHİR,52,16.204,YENİ İŞ,O,T
17196,30%,6,VOLKSWAGEN,1,2023,DIZEL,İZMİR,TORBALI,51,10.439,YENİ İŞ,O,T
17197,50%,7,FORD,4,2020,DIZEL,İSTANBUL,AVCILAR,41,7.207,YENİ İŞ,O,T
17198,60%,8,HONDA,4,2020,BENZİN,ANKARA,KEÇİÖREN,46,7.254,YENİLEME,O,T
17199,50%,6,FORD,3,2021,BENZİN,İSTANBUL,BEYLİKDÜZÜ,37,9.322,YENİ İŞ,O,P
17200,0%,6,FORD,4,2020,DIZEL,ANKARA,,0,13.916,YENİ İŞ,T,T
17201,60%,8,TOYOTA,3,2021,BENZİN,İSTANBUL,BEŞİKTAŞ,46,4.929,YENİ İŞ,O,T
17202,60%,6,FORD,4,2020,DIZEL,İZMİR,BORNOVA,51,13.153,YENİ İŞ,O,T
17203,40%,6,TOYOTA,2,2022,BENZİN,İSTANBUL,BAŞAKŞEHİR,61,6.209,YENİ İŞ,O,T
17204,0%,4,FORD,1,2023,BENZİN,İSTANBUL,,0,68.566,İLK DEFA SİGORTALI,T,T
17205,0%,4,VOLKSWAGEN,5,2019,DIZEL,İSTANBUL,SULTANGAZİ,27,15.728,İLK DEFA SİGORTALI,O,T
17206,60%,7,VOLKSWAGEN,1,2023,BENZİN,İZMİR,KARŞIYAKA,31,4.316,YENİ İŞ,O,T
17207,50%,7,VOLKSWAGEN,1,2023,BENZİN,İSTANBUL,ÜMRANİYE,36,8.902,YENİ İŞ,O,T
17208,60%,7,VOLKSWAGEN,1,2023,BENZİN,İSTANBUL,KADIKÖY,33,7.776,YENİ İŞ,O,T
17209,0%,7,VOLKSWAGEN,1,2023,BENZİN,İSTANBUL,SANCAKTEPE,40,14.967,İLK DEFA SİGORTALI,O,T
17210,0%,8,FORD,4,2020,DIZEL,İZMİR,,0,8.223,YENİ İŞ,T,T
17211,0%,6,VOLKSWAGEN,5,2019,BENZİN,İSTANBUL,BÜYÜKÇEKMECE,42,10.788,İLK DEFA SİGORTALI,O,T
17212,0%,4,FORD,4,2020,DIZEL,İSTANBUL,BÜYÜKÇEKMECE,26,13.079,İLK DEFA SİGORTALI,O,T
17213,60%,8,MERCEDES,2,2022,BENZİN,İSTANBUL,BAHÇELİEVLER,59,11.525,YENİ İŞ,O,T
17214,60%,7,FORD,3,2021,DIZEL,İSTANBUL,,0,12.822,YENİ İŞ,T,T
17215,30%,5,TOYOTA,1,2023,BENZİN,İSTANBUL,BAKIRKÖY,50,10.489,YENİ İŞ,O,T
17216,30%,4,FORD,5,2019,DIZEL,İSTANBUL,ATAŞEHİR,50,12.258,YENİ İŞ,O,T
17217,0%,5,VOLKSWAGEN,3,2021,BENZİN,İSTANBUL,BEYLİKDÜZÜ,35,18.006,İLK DEFA SİGORTALI,O,T
17218,60%,7,TOYOTA,3,2021,BENZİN,ANKARA,SİNCAN,36,5.188,YENİ İŞ,O,T
17219,30%,8,FORD,1,2023,BENZİN,ANKARA,ÇANKAYA,40,8.194,YENİ İŞ,O,T
17220,0%,7,VOLKSWAGEN,5,2019,DIZEL,İSTANBUL,KÜÇÜKÇEKMECE,46,21.100,İLK DEFA SİGORTALI,O,T
17221,60%,7,RENAULT,4,2020,DIZEL,İSTANBUL,,0,15.995,YENİ İŞ,T,T
17222,40%,7,VOLKSWAGEN,2,2022,BENZİN,İSTANBUL,BEŞİKTAŞ,37,11.564,YENİ İŞ,O,T
17223,0%,4,VOLKSWAGEN,3,2021,DIZEL,İSTANBUL,KÜÇÜKÇEKMECE,39,16.333,İLK DEFA SİGORTALI,O,T
17225,0%,4,VOLKSWAGEN,0,2024,DIZEL,İSTANBUL,BAYRAMPAŞA,29,19.981,İLK DEFA SİGORTALI,O,T
17226,0%,7,MERCEDES,1,2023,DIZEL,İSTANBUL,PENDİK,44,16.227,İLK DEFA SİGORTALI,O,T
17227,0%,6,FORD,3,2021,DIZEL,İZMİR,ÇEŞME,38,30.872,İLK DEFA SİGORTALI,O,T
17228,0%,4,TOYOTA,2,2022,DIZEL,İSTANBUL,,0,33.521,İLK DEFA SİGORTALI,T,T
17229,30%,5,FORD,2,2022,DIZEL,İSTANBUL,SANCAKTEPE,54,8.225,YENİ İŞ,O,T
17230,0%,6,HONDA,0,2024,BENZİN,İSTANBUL,ATAŞEHİR,60,20.308,SIFIR ARAÇ,O,T
17231,0%,5,VOLKSWAGEN,2,2022,DIZEL,İSTANBUL,SULTANBEYLİ,31,15.764,İLK DEFA SİGORTALI,O,T
17232,0%,4,VOLKSWAGEN,3,2021,BENZİN,İSTANBUL,ESENYURT,42,17.120,İLK DEFA SİGORTALI,O,T
17233,30%,5,FORD,1,2023,DIZEL,İSTANBUL,,0,15.450,YENİ İŞ,T,T
17234,30%,4,FORD,1,2023,DIZEL,İSTANBUL,ESENYURT,41,8.346,YENİ İŞ,O,T
17235,30%,7,HONDA,1,2023,BENZİN,ANKARA,KEÇİÖREN,29,13.913,YENİ İŞ,O,T
17236,60%,8,HONDA,1,2023,BENZİN,ANKARA,,0,14.286,YENİ İŞ,T,P
17237,40%,6,FORD,4,2020,DIZEL,İSTANBUL,BAĞCILAR,21,19.098,YENİ İŞ,O,T
17238,0%,4,VOLKSWAGEN,3,2021,BENZİN,İSTANBUL,GÜNGÖREN,28,11.623,İLK DEFA SİGORTALI,O,T
17239,30%,7,VOLKSWAGEN,1,2023,DIZEL,İSTANBUL,ÜSKÜDAR,46,10.410,YENİ İŞ,O,T
17240,40%,5,VOLKSWAGEN,3,2021,BENZİN,İSTANBUL,SANCAKTEPE,45,7.584,YENİ İŞ,O,T
17241,30%,5,VOLKSWAGEN,2,2022,BENZİN,İZMİR,BAYINDIR,50,9.987,YENİ İŞ,O,T
17242,40%,7,FORD,2,2022,DIZEL,İSTANBUL,SANCAKTEPE,49,8.880,YENİ İŞ,O,T
17243,0%,5,VOLKSWAGEN,4,2020,DIZEL,İSTANBUL,TUZLA,30,17.635,İLK DEFA SİGORTALI,O,T
17244,30%,5,VOLKSWAGEN,1,2023,DIZEL,İSTANBUL,ÜMRANİYE,38,9.939,YENİ İŞ,O,P
17245,30%,5,TOYOTA,4,2020,BENZİN,İSTANBUL,SANCAKTEPE,30,10.292,YENİ İŞ,O,T
17246,40%,5,VOLKSWAGEN,2,2022,BENZİN,ANKARA,YENİMAHALLE,40,7.697,YENİ İŞ,O,P
17247,0%,5,HONDA,1,2023,BENZİN,İSTANBUL,PENDİK,20,22.095,İLK DEFA SİGORTALI,O,T
17248,30%,4,FORD,2,2022,DIZEL,ANKARA,YENİMAHALLE,37,8.519,YENİ İŞ,O,T
17249,60%,7,MERCEDES,5,2019,DIZEL,İZMİR,,0,27.166,YENİLEME,T,T
17250,0%,4,VOLKSWAGEN,3,2021,BENZİN,İZMİR,KONAK,29,14.479,İLK DEFA SİGORTALI,O,T
17251,50%,7,TOYOTA,3,2021,BENZİN,İZMİR,BORNOVA,36,7.533,YENİ İŞ,O,T
17252,0%,4,VOLKSWAGEN,2,2022,BENZİN,İZMİR,GAZİEMİR,38,14.452,İLK DEFA SİGORTALI,O,P
17253,30%,5,FORD,2,2022,DIZEL,ANKARA,,0,10.406,YENİ İŞ,T,T
17254,60%,7,TOYOTA,1,2023,BENZİN,ANKARA,MAMAK,36,11.878,YENİ İŞ,O,T
17255,0%,6,VOLKSWAGEN,4,2020,BENZİN,İSTANBUL,BAHÇELİEVLER,27,22.192,YENİ İŞ,O,T
17256,0%,4,VOLKSWAGEN,4,2020,BENZİN,ANKARA,SİNCAN,39,13.466,İLK DEFA SİGORTALI,O,T
17257,60%,7,VOLKSWAGEN,3,2021,BENZİN,ANKARA,KEÇİÖREN,37,6.585,YENİLEME,O,P
17258,0%,2,RENAULT,1,2023,DIZEL,ANKARA,,0,18.132,YENİ İŞ,T,P
17259,60%,8,MERCEDES,2,2022,BENZİN,İSTANBUL,KADIKÖY,63,10.368,YENİ İŞ,O,T
17260,30%,7,VOLKSWAGEN,5,2019,DIZEL,İSTANBUL,KÜÇÜKÇEKMECE,47,20.136,YENİ İŞ,O,T
17261,0%,4,VOLKSWAGEN,1,2023,DIZEL,İSTANBUL,EYÜP,38,10.463,İLK DEFA SİGORTALI,O,T
17262,30%,5,FORD,1,2023,DIZEL,İZMİR,KARABAĞLAR,24,11.688,YENİ İŞ,O,T
17263,30%,4,VOLKSWAGEN,3,2021,BENZİN,İZMİR,BUCA,32,5.999,YENİ İŞ,O,P
17264,40%,6,VOLKSWAGEN,5,2019,BENZİN,İZMİR,BORNOVA,54,5.678,YENİ İŞ,O,P
17265,60%,7,FORD,4,2020,BENZİN,İSTANBUL,ESENYURT,40,6.385,YENİ İŞ,O,T
17266,60%,5,VOLKSWAGEN,2,2022,DIZEL,İSTANBUL,BEYKOZ,37,14.741,YENİ İŞ,O,T
17267,30%,7,VOLKSWAGEN,2,2022,BENZİN,İSTANBUL,,0,22.201,YENİLEME,T,T
17268,40%,7,FORD,4,2020,DIZEL,İZMİR,MENEMEN,49,6.502,YENİ İŞ,O,T
17269,60%,8,VOLKSWAGEN,3,2021,BENZİN,İZMİR,BUCA,46,8.314,YENİ İŞ,O,T
17270,30%,5,RENAULT,1,2023,DIZEL,İZMİR,,0,8.505,YENİ İŞ,T,T
17271,30%,5,FORD,1,2023,BENZİN,İZMİR,TORBALI,46,8.980,YENİ İŞ,O,T
17272,60%,5,FORD,1,2023,DIZEL,ANKARA,,0,10.950,YENİ İŞ,T,P
17273,50%,8,VOLKSWAGEN,3,2021,BENZİN,ANKARA,KEÇİÖREN,61,11.366,YENİ İŞ,O,T
17274,0%,5,VOLKSWAGEN,3,2021,BENZİN,İSTANBUL,,0,17.890,İLK DEFA SİGORTALI,T,T
17275,50%,7,VOLKSWAGEN,1,2023,BENZİN,ANKARA,MAMAK,35,11.810,YENİ İŞ,O,T
17276,0%,6,RENAULT,5,2019,BENZİN,İSTANBUL,KÜÇÜKÇEKMECE,63,7.334,YENİ İŞ,O,T
17277,0%,8,FORD,4,2020,DIZEL,ANKARA,SİNCAN,47,8.990,İLK DEFA SİGORTALI,O,T
17278,60%,8,TOYOTA,2,2022,BENZİN,İSTANBUL,KARTAL,42,5.655,YENİLEME,O,T
17279,40%,5,FORD,2,2022,DIZEL,ANKARA,ETİMESGUT,59,12.737,YENİ İŞ,O,T
17280,30%,4,VOLKSWAGEN,4,2020,DIZEL,İSTANBUL,PENDİK,40,7.456,YENİ İŞ,O,T
17281,40%,6,FORD,3,2021,BENZİN,İSTANBUL,TUZLA,59,8.649,YENİ İŞ,O,T
17282,40%,5,VOLKSWAGEN,2,2022,BENZİN,İSTANBUL,KADIKÖY,58,11.405,YENİ İŞ,O,T
17283,0%,7,VOLKSWAGEN,3,2021,BENZİN,ANKARA,POLATLI,37,5.543,İLK DEFA SİGORTALI,O,T
17284,0%,5,VOLKSWAGEN,4,2020,BENZİN,İZMİR,KONAK,28,26.065,İLK DEFA SİGORTALI,O,T
17285,30%,5,MERCEDES,1,2023,BENZİN,İSTANBUL,KADIKÖY,23,16.779,YENİ İŞ,O,P
17286,30%,7,VOLKSWAGEN,1,2023,BENZİN,İSTANBUL,ATAŞEHİR,42,8.807,YENİ İŞ,O,T
17287,30%,5,FORD,1,2023,BENZİN,ANKARA,YENİMAHALLE,49,8.475,YENİ İŞ,O,T
17288,30%,7,HONDA,1,2023,BENZİN,ANKARA,YENİMAHALLE,50,11.864,YENİ İŞ,O,T
17289,40%,6,VOLKSWAGEN,2,2022,BENZİN,İSTANBUL,BAĞCILAR,52,8.152,YENİLEME,O,P
17290,50%,6,VOLKSWAGEN,5,2019,DIZEL,İSTANBUL,PENDİK,52,6.749,YENİ İŞ,O,T
17291,0%,4,VOLKSWAGEN,3,2021,DIZEL,İSTANBUL,BAŞAKŞEHİR,52,13.238,İLK DEFA SİGORTALI,O,T
17292,30%,5,FORD,1,2023,BENZİN,İSTANBUL,BEYLİKDÜZÜ,48,9.218,YENİ İŞ,O,T
17294,0%,7,MERCEDES,0,2024,DIZEL,İSTANBUL,GAZİOSMANPAŞA,59,31.891,SIFIR ARAÇ,O,T
17295,60%,7,HONDA,1,2023,BENZİN,İSTANBUL,,0,10.993,YENİ İŞ,T,P
17296,60%,8,VOLKSWAGEN,4,2020,BENZİN,İSTANBUL,ÜMRANİYE,36,9.204,YENİ İŞ,O,T
17297,0%,8,RENAULT,1,2023,BENZİN,İZMİR,GAZİEMİR,40,11.682,İLK DEFA SİGORTALI,O,T
17298,0%,7,FORD,1,2023,BENZİN,İZMİR,BORNOVA,45,12.565,İLK DEFA SİGORTALI,O,T
17299,30%,5,RENAULT,1,2023,DIZEL,ANKARA,,0,10.344,YENİ İŞ,T,T
17300,60%,8,TOYOTA,4,2020,BENZİN,ANKARA,YENİMAHALLE,58,6.388,YENİ İŞ,O,T
17301,30%,5,TOYOTA,1,2023,BENZİN,İSTANBUL,ARNAVUTKÖY,24,8.071,YENİ İŞ,O,T
17302,0%,4,VOLKSWAGEN,4,2020,DIZEL,İZMİR,GAZİEMİR,22,19.708,İLK DEFA SİGORTALI,O,T
17303,60%,7,VOLKSWAGEN,4,2020,BENZİN,İSTANBUL,KAĞITHANE,61,8.251,YENİ İŞ,O,T
17304,0%,8,VOLKSWAGEN,4,2020,BENZİN,İSTANBUL,ÇATALCA,48,11.168,İLK DEFA SİGORTALI,O,T
17305,0%,7,MERCEDES,4,2020,BENZİN,İSTANBUL,,0,16.092,İLK DEFA SİGORTALI,T,P
17306,40%,7,MERCEDES,3,2021,BENZİN,ANKARA,,0,13.985,YENİLEME,T,T
17307,50%,7,MERCEDES,3,2021,DIZEL,ANKARA,,0,23.054,YENİLEME,T,T
